model_name,model_version,test_case_id,prompt_id,prompt_version,run_id,test_method,platform,local_or_online,hardware,quantization,prompt_file,input_image,output_image,elapsed_time_seconds,result_status,notes
BAGEL,待确认,TC-01,BASIC_P01,p01-v0.1,R01,local,NVIDIA RTX 4070 Ti Super 16GB,local,NVIDIA RTX 4070 Ti Super 16GB,NF4,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/bagel/TC01_BASIC_P01_bagel_R01.webp,75,已本地测试,默认参数；输出格式为 webp
Qwen-Image-Edit,待确认,TC-01,BASIC_P01,p01-v0.1,R01,online,ModelScope 魔搭社区在线体验,online,未公开,未知,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/qwen-image-edit/TC01_BASIC_P01_qwen_R01.png,,已在线测试,默认参数；输出格式为 png；纯模型耗时未记录
HunyuanImage-3-Instruct,待确认,TC-01,BASIC_P01,p01-v0.1,R01,online,腾讯混元官网在线体验,online,未公开,未知,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/hunyuanimage3-instruct/TC01_BASIC_P01_hunyuan_R01.jpeg,,已在线测试,默认参数；输出格式为 jpeg；纯模型耗时未记录
BAGEL,待确认,TC-01,BASIC_P02,p02-v0.1,R01,local,NVIDIA RTX 4070 Ti Super 16GB,local,NVIDIA RTX 4070 Ti Super 16GB,NF4,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/bagel/TC01_BASIC_P02_bagel_R01.webp,75,已本地测试,默认参数；输出格式为 webp
Qwen-Image-Edit,待确认,TC-01,BASIC_P02,p02-v0.1,R01,online,ModelScope 魔搭社区在线体验,online,未公开,未知,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/qwen-image-edit/TC01_BASIC_P02_qwen_R01.png,,已在线测试,默认参数；输出格式为 png；纯模型耗时未记录
HunyuanImage-3-Instruct,待确认,TC-01,BASIC_P02,p02-v0.1,R01,online,腾讯混元官网在线体验,online,未公开,未知,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/hunyuanimage3-instruct/TC01_BASIC_P02_hunyuan_R01.jpeg,,已在线测试,默认参数；输出格式为 jpeg；纯模型耗时未记录
BAGEL,待确认,TC-02,OPT_P01,p01-v0.1,R01,local,NVIDIA RTX 4070 Ti Super 16GB,local,NVIDIA RTX 4070 Ti Super 16GB,NF4,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/bagel/TC02_OPT_P01_bagel_R01.webp,75,已本地测试,默认参数；输出格式为 webp
Qwen-Image-Edit,待确认,TC-02,OPT_P01,p01-v0.1,R01,online,ModelScope 魔搭社区在线体验,online,未公开,未知,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/qwen-image-edit/TC02_OPT_P01_qwen_R01.png,,已在线测试,默认参数；输出格式为 png；纯模型耗时未记录
HunyuanImage-3-Instruct,待确认,TC-02,OPT_P01,p01-v0.1,R01,online,腾讯混元官网在线体验,online,未公开,未知,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/hunyuanimage3-instruct/TC02_OPT_P01_hunyuan_R01.jpeg,,已在线测试,默认参数；输出格式为 jpeg；纯模型耗时未记录
BAGEL,待确认,TC-02,OPT_P02,p02-v0.1,R01,local,NVIDIA RTX 4070 Ti Super 16GB,local,NVIDIA RTX 4070 Ti Super 16GB,NF4,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/bagel/TC02_OPT_P02_bagel_R01.webp,75,已本地测试,默认参数；输出格式为 webp
Qwen-Image-Edit,待确认,TC-02,OPT_P02,p02-v0.1,R01,online,ModelScope 魔搭社区在线体验,online,未公开,未知,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/qwen-image-edit/TC02_OPT_P02_qwen_R01.png,,已在线测试,默认参数；输出格式为 png；纯模型耗时未记录
HunyuanImage-3-Instruct,待确认,TC-02,OPT_P02,p02-v0.1,R01,online,腾讯混元官网在线体验,online,未公开,未知,prompts/OPTIMIZED_TASK_PROMPTS.md,../../inputs/source_images/regular_building_input.jpg,../../inputs/current_outputs/hunyuanimage3-instruct/TC02_OPT_P02_hunyuan_R01.jpeg,,已在线测试,默认参数；输出格式为 jpeg；纯模型耗时未记录
BAGEL,待确认,TC-03,BASIC_P01,p01-v0.1,R01,local,NVIDIA RTX 4070 Ti Super 16GB,local,NVIDIA RTX 4070 Ti Super 16GB,NF4,prompts/BASIC_TASK_PROMPTS.md,../../inputs/source_images/irregular_building_input.jpg,../../inputs/current_outputs/bagel/TC03_BASIC_P01_bagel_R01.webp,75,已本地测试,默认参数；输出格式为 webp
